AOR,AMA,ALTO ORINOCO,1,6/5/22 13:10,\N,\N
ATA,AMA,ATABAPO,1,6/5/22 13:10,\N,\N
ATU,AMA,ATURES,1,6/5/22 13:10,\N,\N
AUT,AMA,AUTANA,1,6/5/22 13:10,\N,\N
MAN,AMA,MANAPIARE,1,6/5/22 13:10,\N,\N
MAR,AMA,MAROA,1,6/5/22 13:10,\N,\N
RNG,AMA,RÍO NEGRO,1,6/5/22 13:10,\N,\N
ANC,ANZ,ANACO,1,6/5/22 13:10,\N,\N
ARG,ANZ,ARAGUA,1,6/5/22 13:10,\N,\N
MEB,ANZ,MANUEL EZEQUIEL BRUZUAL,1,6/5/22 13:10,\N,\N
DBU,ANZ,DIEGO BAUTISTA URBANEJA,1,6/5/22 13:10,\N,\N
FPE,ANZ,FERNANDO PEÑALVER,1,6/5/22 13:10,\N,\N
FCC,ANZ,FRANCISCO DEL CARMEN CARVAJAL,1,6/5/22 13:10,\N,\N
GAM,ANZ,GENERAL SIR ARTHUR MCGREGOR,1,6/5/22 13:10,\N,\N
GUA,ANZ,GUANTA,1,6/5/22 13:10,\N,\N
IND,ANZ,INDEPENDENCIA,1,6/5/22 13:10,\N,\N
JGM,ANZ,JOSÉ GREGORIO MONAGAS,1,6/5/22 13:10,\N,\N
JAS,ANZ,JUAN ANTONIO SOTILLO,1,6/5/22 13:10,\N,\N
JMC,ANZ,JUAN MANUEL CAJIGAL,1,6/5/22 13:10,\N,\N
LBR,ANZ,LIBERTAD,1,6/5/22 13:10,\N,\N
FDM,ANZ,FRANCISCO DE MIRANDA,1,6/5/22 13:10,\N,\N
PMF,ANZ,PEDRO MARÍA FREITES,1,6/5/22 13:10,\N,\N
PIR,ANZ,PÍRITU,1,6/5/22 13:10,\N,\N
SJG,ANZ,SAN JOSÉ DE GUANIPA,1,6/5/22 13:10,\N,\N
SJC,ANZ,SAN JUAN DE CAPISTRANO,1,6/5/22 13:10,\N,\N
STA,ANZ,SANTA ANA,1,6/5/22 13:10,\N,\N
SBO,ANZ,SIMÓN BOLÍVAR,1,6/5/22 13:10,\N,\N
SRO,ANZ,SIMÓN RODRÍGUEZ,1,6/5/22 13:10,\N,\N
ACH,APU,ACHAGUAS,1,6/5/22 13:10,\N,\N
BIR,APU,BIRUACA,1,6/5/22 13:10,\N,\N
MUÑ,APU,MUÑÓZ,1,6/5/22 13:10,\N,\N
PAE,APU,PÁEZ,1,6/5/22 13:10,\N,\N
PCA,APU,PEDRO CAMEJO,1,6/5/22 13:10,\N,\N
RGA,APU,RÓMULO GALLEGOS,1,6/5/22 13:10,\N,\N
SFE,APU,SAN FERNANDO,1,6/5/22 13:10,\N,\N
ATG,ARA,ATANASIO GIRARDOT,1,6/5/22 13:10,\N,\N
BOL,ARA,BOLÍVAR,1,6/5/22 13:10,\N,\N
CAM,ARA,CAMATAGUA,1,6/5/22 13:10,\N,\N
FLA,ARA,FRANCISCO LINARES ALCÁNTARA,1,6/5/22 13:10,\N,\N
JAL,ARA,JOSÉ ÁNGEL LAMAS,1,6/5/22 13:10,\N,\N
JFR,ARA,JOSÉ FÉLIX RIBAS,1,6/5/22 13:10,\N,\N
JRR,ARA,JOSÉ RAFAEL REVENGA,1,6/5/22 13:10,\N,\N
LIB,ARA,LIBERTADOR,1,6/5/22 13:10,\N,\N
MBI,ARA,MARIO BRICEÑO IRAGORRY,1,6/5/22 13:10,\N,\N
OCO,ARA,OCUMARE DE LA COSTA DE ORO,1,6/5/22 13:10,\N,\N
SCA,ARA,SAN CASIMIRO,1,6/5/22 13:10,\N,\N
SSE,ARA,SAN SEBASTIÁN,1,6/5/22 13:10,\N,\N
SMA,ARA,SANTIAGO MARIÑO,1,6/5/22 13:10,\N,\N
STM,ARA,SANTOS MICHELENA,1,6/5/22 13:10,\N,\N
SUC,ARA,SUCRE,1,6/5/22 13:10,\N,\N
TOV,ARA,TOVAR,1,6/5/22 13:10,\N,\N
URD,ARA,URDANETA,1,6/5/22 13:10,\N,\N
ZAM,ARA,ZAMORA,1,6/5/22 13:10,\N,\N
AAT,BAR,ALBERTO ARVELO TORREALBA,1,6/5/22 13:10,\N,\N
AEB,BAR,ANDRÉS ELOY BLANCO,1,6/5/22 13:10,\N,\N
AJS,BAR,ANTONIO JOSÉ DE SUCRE,1,6/5/22 13:10,\N,\N
ARS,BAR,ARISMENDI,1,6/5/22 13:10,\N,\N
BAR,BAR,BARINAS,1,6/5/22 13:10,\N,\N
CPD,BAR,BOLÍVAR,1,6/5/22 13:10,\N,\N
EZM,BAR,CRUZ PAREDES,1,6/5/22 13:10,\N,\N
OBI,BAR,EZEQUIEL ZAMORA,1,6/5/22 13:10,\N,\N
PED,BAR,OBISPOS,1,6/5/22 13:10,\N,\N
ROJ,BAR,PEDRAZA,1,6/5/22 13:10,\N,\N
SOS,BAR,ROJAS,1,6/5/22 13:10,\N,\N
CAR,BAR,SOSA,1,6/5/22 13:10,\N,\N
CED,BOL,CARONÍ,1,6/5/22 13:10,\N,\N
ECA,BOL,CEDEÑOO,1,6/5/22 13:10,\N,\N
GSA,BOL,EL CALLAO,1,6/5/22 13:10,\N,\N
HER,BOL,GRAN SABANA,1,6/5/22 13:10,\N,\N
PIA,BOL,HERES,1,6/5/22 13:10,\N,\N
ANG,BOL,PIAR,1,6/5/22 13:10,\N,\N
ROS,BOL,ANGOSTURA (RAÚL LEONI),1,6/5/22 13:10,\N,\N
SIF,BOL,ROSCIO,1,6/5/22 13:10,\N,\N
PPC,BOL,SIFONTES,1,6/5/22 13:10,\N,\N
BEJ,BOL,SUCRE,1,6/5/22 13:10,\N,\N
CAR,BOL,PADRE PEDRO CHIEN,1,6/5/22 13:10,\N,\N
DIB,CAR,BEJUMA,1,6/5/22 13:10,\N,\N
GUA,CAR,CARLOS ARVELO,1,6/5/22 13:10,\N,\N
JJM,CAR,DIEGO IBARRA,1,6/5/22 13:10,\N,\N
LGU,CAR,GUACARA,1,6/5/22 13:10,\N,\N
MIR,CAR,JUAN JOSÉ MORA,1,6/5/22 13:10,\N,\N
MON,CAR,LIBERTADOR,1,6/5/22 13:10,\N,\N
NAG,CAR,LOS GUAYOS,1,6/5/22 13:10,\N,\N
PTC,CAR,MIRANDA,1,6/5/22 13:10,\N,\N
SDI,CAR,MONTALBÁN,1,6/5/22 13:10,\N,\N
SJO,CAR,NAGUANAGUA,1,6/5/22 13:10,\N,\N
VAL,CAR,PUERTO CABELLO,1,6/5/22 13:10,\N,\N
ANZ,CAR,SAN DIEGO,1,6/5/22 13:10,\N,\N
TIN,CAR,SAN JOAQUÍN,1,6/5/22 13:10,\N,\N
GIR,CAR,VALENCIA,1,6/5/22 13:10,\N,\N
LBL,COJ,ANZOÁTEGUI,1,6/5/22 13:10,\N,\N
PSJ,COJ,TINAQUILLO,1,6/5/22 13:10,\N,\N
RIC,COJ,GIRARDOT,1,6/5/22 13:10,\N,\N
SCA,COJ,LIMA BLANCO,1,6/5/22 13:10,\N,\N
TIN,COJ,PAO DE SAN JUAN BAUTISTA,1,6/5/22 13:10,\N,\N
ADI,COJ,RICAURTE,1,6/5/22 13:10,\N,\N
CAS,COJ,RÓMULO GALLEGOS,1,6/5/22 13:10,\N,\N
PED,COJ,SAN CARLOS,1,6/5/22 13:10,\N,\N
TUC,COJ,TINACO,1,6/5/22 13:10,\N,\N
ACO,DEL,ANTONIO DÍAZ,1,6/5/22 13:10,\N,\N
BUC,DEL,CASACOIMA,1,6/5/22 13:10,\N,\N
CMA,DEL,PEDERNALES,1,6/5/22 13:10,\N,\N
CAR,DEL,TUCUPITA,1,6/5/22 13:10,\N,\N
COL,FAL,ACOSTA,1,6/5/22 13:10,\N,\N
DAB,FAL,BOLÍVAR,1,6/5/22 13:10,\N,\N
DEM,FAL,BUCHIVACOA,1,6/5/22 13:10,\N,\N
FAL,FAL,CACIQUE MANAURE,1,6/5/22 13:10,\N,\N
FED,FAL,CARIRUBANA,1,6/5/22 13:10,\N,\N
JAC,FAL,COLINA,1,6/5/22 13:10,\N,\N
JLS,FAL,DABAJURO,1,6/5/22 13:10,\N,\N
LTA,FAL,DEMOCRACIA,1,6/5/22 13:10,\N,\N
MAU,FAL,FALCÓN,1,6/5/22 13:10,\N,\N
MIT,FAL,FEDERACIÓN,1,6/5/22 13:10,\N,\N
PAL,FAL,JACURA,1,6/5/22 13:10,\N,\N
PET,FAL,JOSÉ LAURENCIO SILVA,1,6/5/22 13:10,\N,\N
SFR,FAL,LOS TAQUES,1,6/5/22 13:10,\N,\N
TOC,FAL,MAUROA,1,6/5/22 13:10,\N,\N
UNI,FAL,MIRANDA,1,6/5/22 13:10,\N,\N
URU,FAL,MONSEÑOR ITURRIZA,1,6/5/22 13:10,\N,\N
CAM,FAL,PALMASOLA,1,6/5/22 13:10,\N,\N
CHA,FAL,PETIT,1,6/5/22 13:10,\N,\N
ESO,FAL,PÍRITU,1,6/5/22 13:10,\N,\N
JTM,FAL,SAN FRANCISCO,1,6/5/22 13:10,\N,\N
JGR,FAL,SUCRE,1,6/5/22 13:10,\N,\N
JME,FAL,TOCÓPERO,1,6/5/22 13:10,\N,\N
LME,FAL,UNIÓN,1,6/5/22 13:10,\N,\N
LIN,FAL,URUMACO,1,6/5/22 13:10,\N,\N
PZA,FAL,ZAMORA,1,6/5/22 13:10,\N,\N
ORT,GUA,CAMAGUÁN,1,6/5/22 13:10,\N,\N
SGG,GUA,CHAGUARAMAS,1,6/5/22 13:10,\N,\N
SJG,GUA,EL SOCORRO,1,6/5/22 13:10,\N,\N
SMI,GUA,JOSÉ FÉLIX RIBAS,1,6/5/22 13:10,\N,\N
SFM,GUA,JOSÉ TADEO MONAGAS,1,6/5/22 13:10,\N,\N
CRE,GUA,JUAN GERMÁN ROSCIO,1,6/5/22 13:10,\N,\N
